# 排序待優化案例（enhancement）：全部 18181 筆，AI有推到正解但排在第6~10名、前端看不到，逐筆理想重排（正解移至第1名）。訓練回饋用，非全域規則。
排序問題樣態,職缺名稱,duty0,duty1,duty2,duty3,duty4,現有版本_推薦1,現有版本_推薦2,現有版本_推薦3,現有版本_推薦4,現有版本_推薦5,現有版本_推薦6,現有版本_推薦7,現有版本_推薦8,現有版本_推薦9,現有版本_推薦10,理想推薦_1,理想推薦_2,理想推薦_3,理想推薦_4,理想推薦_5,理想推薦_6,理想推薦_7,理想推薦_8,理想推薦_9,理想推薦_10
萬用填充項擠壓-同領域,外場正職（晚班）,餐飲服務人員,,,,,調酒師／吧台人員,冷熱飲調製人員,門市／店員／專櫃人員,侍酒師,西式廚師,售票／收銀人員,外送人員,餐飲服務人員,洗碗人員,品管／品保主管,餐飲服務人員,調酒師／吧台人員,冷熱飲調製人員,門市／店員／專櫃人員,侍酒師,西式廚師,售票／收銀人員,外送人員,洗碗人員,品管／品保主管
萬用填充項擠壓-同領域,【美生餐室-桃園中華店】晚班外場兼職，打烊220起,餐飲服務人員,,,,,洗碗人員,調酒師／吧台人員,冷熱飲調製人員,西式廚師,餐廚助手,侍酒師,餐飲服務人員,飯店／旅館服務人員,外送人員,門市／店員／專櫃人員,餐飲服務人員,洗碗人員,調酒師／吧台人員,冷熱飲調製人員,西式廚師,餐廚助手,侍酒師,飯店／旅館服務人員,外送人員,門市／店員／專櫃人員
萬用填充項擠壓-同領域,【兼職】餐飲服務工讀,餐飲服務人員,,,,,調酒師／吧台人員,冷熱飲調製人員,飯店／旅館服務人員,門市／店員／專櫃人員,侍酒師,外送人員,洗碗人員,餐廚助手,餐飲服務人員,售票／收銀人員,餐飲服務人員,調酒師／吧台人員,冷熱飲調製人員,飯店／旅館服務人員,門市／店員／專櫃人員,侍酒師,外送人員,洗碗人員,餐廚助手,售票／收銀人員
萬用填充項擠壓-同領域,【時薪$200元起】外場兼職 NARA 泰式料理 高雄SOGO店,餐飲服務人員,,,,,西式廚師,洗碗人員,餐廚助手,調酒師／吧台人員,冷熱飲調製人員,餐飲服務人員,門市／店員／專櫃人員,外送人員,侍酒師,其他料理廚師,餐飲服務人員,西式廚師,洗碗人員,餐廚助手,調酒師／吧台人員,冷熱飲調製人員,門市／店員／專櫃人員,外送人員,侍酒師,其他料理廚師
萬用填充項擠壓-同領域,【北丸Kitamaru 台中LALAPORT店】 外場正職人員 （薪資$36000~44000起，具相關經驗者薪資另洽；一頭班）,餐飲服務人員,,,,,調酒師／吧台人員,冷熱飲調製人員,侍酒師,門市／店員／專櫃人員,餐廚助手,餐飲服務人員,洗碗人員,西式廚師,麵包師,外送人員,餐飲服務人員,調酒師／吧台人員,冷熱飲調製人員,侍酒師,門市／店員／專櫃人員,餐廚助手,洗碗人員,西式廚師,麵包師,外送人員
萬用填充項擠壓-同領域,韓燒餐飲誠徵外場假日班,餐飲服務人員,,,,,調酒師／吧台人員,冷熱飲調製人員,侍酒師,西式廚師,洗碗人員,門市／店員／專櫃人員,日式廚師,餐廚助手,餐飲服務人員,飯店／旅館服務人員,餐飲服務人員,調酒師／吧台人員,冷熱飲調製人員,侍酒師,西式廚師,洗碗人員,門市／店員／專櫃人員,日式廚師,餐廚助手,飯店／旅館服務人員
,樹林廠廠務系統工程師｜機電／空調／能源管理,廠務,,,,,工務工管人員,土木工程師,水電工程師,電子設備維修人員,電信／配線繪圖,電源工程師,廠務,DevOps工程師,系統工程師,消防專業人員,廠務,工務工管人員,土木工程師,水電工程師,電子設備維修人員,電信／配線繪圖,電源工程師,DevOps工程師,系統工程師,消防專業人員
,生管／助理,生管／助理,,,,,倉管／物料管理員,採購助理,運輸調度管理人員,倉儲物流人員,品管人員,生管／助理,執行製作／助理,電腦操作／資料輸入,秘書,資訊助理人員,生管／助理,倉管／物料管理員,採購助理,運輸調度管理人員,倉儲物流人員,品管人員,執行製作／助理,電腦操作／資料輸入,秘書,資訊助理人員
,五金倉管員,生管／助理,,,,,倉管／物料管理員,倉儲物流人員,理貨人員,包裝員／作業員,生鮮處理人員,資材人員,生管／助理,搬運人員,資材主管,挖土／推土機相關操作人員,生管／助理,倉管／物料管理員,倉儲物流人員,理貨人員,包裝員／作業員,生鮮處理人員,資材人員,搬運人員,資材主管,挖土／推土機相關操作人員
,生管專員 (雅嘉),生管／助理,,,,,資材人員,智慧製程工程師,包裝員／作業員,倉管／物料管理員,電機技師／工程師,生管／助理,生管主管,品管人員,倉儲物流人員,PLC／自動控制工程師,生管／助理,資材人員,智慧製程工程師,包裝員／作業員,倉管／物料管理員,電機技師／工程師,生管主管,品管人員,倉儲物流人員,PLC／自動控制工程師
,【9054】產銷助理(對成衣有興趣),生管／助理,,,,,採購助理,國貿助理,業務助理,秘書,活動企劃人員,行銷企劃助理,電腦操作／資料輸入,財務／會計助理,生管／助理,行政人員,生管／助理,採購助理,國貿助理,業務助理,秘書,活動企劃人員,行銷企劃助理,電腦操作／資料輸入,財務／會計助理,行政人員
,《大溪廠》-生管人員,生管／助理,,,,,包裝員／作業員,CNC車床人員,倉管／物料管理員,生管主管,塑膠押出技術人員,電機技師／工程師,智慧製程工程師,技術人員,電機設備裝配員,生管／助理,生管／助理,包裝員／作業員,CNC車床人員,倉管／物料管理員,生管主管,塑膠押出技術人員,電機技師／工程師,智慧製程工程師,技術人員,電機設備裝配員
,生管行政專員 (具業助/採購經驗佳)｜固定底薪 32K-43K｜另有季度分紅機制｜近迴龍捷運站,生管／助理,,,,,採購助理,秘書,國貿助理,業務助理,電腦操作／資料輸入,財務／會計助理,行政人員,活動企劃人員,行銷企劃助理,生管／助理,生管／助理,採購助理,秘書,國貿助理,業務助理,電腦操作／資料輸入,財務／會計助理,行政人員,活動企劃人員,行銷企劃助理
,化妝品調配助理,生管／助理,,,,,資訊助理人員,行銷企劃助理,秘書,電腦操作／資料輸入,媒體公關人員,採購助理,執行製作／助理,國貿助理,生管／助理,業務助理,生管／助理,資訊助理人員,行銷企劃助理,秘書,電腦操作／資料輸入,媒體公關人員,採購助理,執行製作／助理,國貿助理,業務助理
,生管專員(ELE00桃園),生管／助理,,,,,包裝員／作業員,倉管／物料管理員,資材人員,智慧製程工程師,生管主管,電機技師／工程師,CNC車床人員,倉儲物流人員,生管／助理,技術人員,生管／助理,包裝員／作業員,倉管／物料管理員,資材人員,智慧製程工程師,生管主管,電機技師／工程師,CNC車床人員,倉儲物流人員,技術人員
,食品廠現場人員,生管／助理,,,,,包裝員／作業員,檢驗人員,倉管／物料管理員,品管人員,倉儲物流人員,CNC車床人員,理貨人員,技術人員,生管／助理,智慧製程工程師,生管／助理,包裝員／作業員,檢驗人員,倉管／物料管理員,品管人員,倉儲物流人員,CNC車床人員,理貨人員,技術人員,智慧製程工程師
,生管管理師(梧棲中港園區)(上班時間：14:50~23:20),生管／助理,,,,,包裝員／作業員,生管主管,倉管／物料管理員,資材人員,智慧製程工程師,生管／助理,水電工,CNC車床人員,倉儲物流人員,技術人員,生管／助理,包裝員／作業員,生管主管,倉管／物料管理員,資材人員,智慧製程工程師,水電工,CNC車床人員,倉儲物流人員,技術人員
,AO【南屯–半導體自動化作業】((✦起薪35K/長期轉正快✦)) 周休六日+環境明亮,生管／助理,,,,,CNC車床人員,PLC／自動控制工程師,機構工程師,電機技師／工程師,電機設備裝配員,機械操作人員,機械加工技術人員,生管／助理,生產技術／製程工程師,資材人員,生管／助理,CNC車床人員,PLC／自動控制工程師,機構工程師,電機技師／工程師,電機設備裝配員,機械操作人員,機械加工技術人員,生產技術／製程工程師,資材人員
萬用填充項擠壓-同領域,享溫馨KTV-建國店 早班外場 工讀人員,餐飲服務人員,,,,,調酒師／吧台人員,冷熱飲調製人員,飯店／旅館服務人員,門市／店員／專櫃人員,侍酒師,外送人員,藥師助理,洗碗人員,售票／收銀人員,餐飲服務人員,餐飲服務人員,調酒師／吧台人員,冷熱飲調製人員,飯店／旅館服務人員,門市／店員／專櫃人員,侍酒師,外送人員,藥師助理,洗碗人員,售票／收銀人員
萬用填充項擠壓-同領域,【B46-松山八德店】計時人員,餐飲服務人員,,,,,調酒師／吧台人員,冷熱飲調製人員,洗碗人員,西式廚師,餐廚助手,餐飲服務人員,侍酒師,外送人員,門市／店員／專櫃人員,飯店／旅館服務人員,餐飲服務人員,調酒師／吧台人員,冷熱飲調製人員,洗碗人員,西式廚師,餐廚助手,侍酒師,外送人員,門市／店員／專櫃人員,飯店／旅館服務人員
萬用填充項擠壓-同領域,餐飲部 - 餐飲服務員 Waiter/Waitress (歡飲廊),餐飲服務人員,,,,,調酒師／吧台人員,冷熱飲調製人員,侍酒師,餐飲主管,品管／品保主管,門市／店員／專櫃人員,店長／門市管理人員,飯店／旅館服務人員,餐飲服務人員,西式廚師,餐飲服務人員,調酒師／吧台人員,冷熱飲調製人員,侍酒師,餐飲主管,品管／品保主管,門市／店員／專櫃人員,店長／門市管理人員,飯店／旅館服務人員,西式廚師
萬用填充項擠壓-同領域,【美生餐室-桃園中壢店】假日班長期工讀，時薪220起。,餐飲服務人員,,,,,調酒師／吧台人員,冷熱飲調製人員,侍酒師,門市／店員／專櫃人員,洗碗人員,西式廚師,飯店／旅館服務人員,餐廚助手,救生員,餐飲服務人員,餐飲服務人員,調酒師／吧台人員,冷熱飲調製人員,侍酒師,門市／店員／專櫃人員,洗碗人員,西式廚師,飯店／旅館服務人員,餐廚助手,救生員
萬用填充項擠壓-同領域,【美生餐室-桃園中華店】假日班長期工讀，時薪220起。,餐飲服務人員,,,,,調酒師／吧台人員,冷熱飲調製人員,侍酒師,洗碗人員,門市／店員／專櫃人員,西式廚師,飯店／旅館服務人員,餐廚助手,救生員,餐飲服務人員,餐飲服務人員,調酒師／吧台人員,冷熱飲調製人員,侍酒師,洗碗人員,門市／店員／專櫃人員,西式廚師,飯店／旅館服務人員,餐廚助手,救生員
萬用填充項擠壓-同領域,宴會廳餐飲禮賓員 Banquet Guest Service Agent,餐飲服務人員,,,,,調酒師／吧台人員,侍酒師,飯店／旅館服務人員,冷熱飲調製人員,門市／店員／專櫃人員,外送人員,售票／收銀人員,咖啡師,餐飲服務人員,電腦操作／資料輸入,餐飲服務人員,調酒師／吧台人員,侍酒師,飯店／旅館服務人員,冷熱飲調製人員,門市／店員／專櫃人員,外送人員,售票／收銀人員,咖啡師,電腦操作／資料輸入
萬用填充項擠壓-同領域,【B52-大里益民】廚房人員,餐飲服務人員,,,,,調酒師／吧台人員,冷熱飲調製人員,洗碗人員,餐廚助手,門市／店員／專櫃人員,房務人員,西式廚師,飯店／旅館服務人員,侍酒師,餐飲服務人員,餐飲服務人員,調酒師／吧台人員,冷熱飲調製人員,洗碗人員,餐廚助手,門市／店員／專櫃人員,房務人員,西式廚師,飯店／旅館服務人員,侍酒師
萬用填充項擠壓-同領域,外場正職服務人員【隨意鳥地方 101 85樓】,餐飲服務人員,,,,,調酒師／吧台人員,冷熱飲調製人員,侍酒師,飯店／旅館服務人員,門市／店員／專櫃人員,售票／收銀人員,洗碗人員,餐飲服務人員,外送人員,房務人員,餐飲服務人員,調酒師／吧台人員,冷熱飲調製人員,侍酒師,飯店／旅館服務人員,門市／店員／專櫃人員,售票／收銀人員,洗碗人員,外送人員,房務人員
萬用填充項擠壓-同領域,外場正職服務人員【DA ANTONIO 竹北店】外地員工提供職務宿舍,餐飲服務人員,,,,,調酒師／吧台人員,門市／店員／專櫃人員,冷熱飲調製人員,飯店／旅館服務人員,侍酒師,售票／收銀人員,房務人員,外送人員,餐飲服務人員,遊樂景點工作人員,餐飲服務人員,調酒師／吧台人員,門市／店員／專櫃人員,冷熱飲調製人員,飯店／旅館服務人員,侍酒師,售票／收銀人員,房務人員,外送人員,遊樂景點工作人員
萬用填充項擠壓-同領域,善化假日餐廳人員（阿珠姨滷肉飯）,餐飲服務人員,,,,,調酒師／吧台人員,侍酒師,飯店／旅館服務人員,冷熱飲調製人員,門市／店員／專櫃人員,餐飲主管,售票／收銀人員,店長／門市管理人員,咖啡師,餐飲服務人員,餐飲服務人員,調酒師／吧台人員,侍酒師,飯店／旅館服務人員,冷熱飲調製人員,門市／店員／專櫃人員,餐飲主管,售票／收銀人員,店長／門市管理人員,咖啡師
萬用填充項擠壓-同領域,梧棲店宇良食外場早班工讀,餐飲服務人員,,,,,調酒師／吧台人員,冷熱飲調製人員,侍酒師,門市／店員／專櫃人員,飯店／旅館服務人員,外送人員,售票／收銀人員,餐飲主管,餐飲服務人員,洗碗人員,餐飲服務人員,調酒師／吧台人員,冷熱飲調製人員,侍酒師,門市／店員／專櫃人員,飯店／旅館服務人員,外送人員,售票／收銀人員,餐飲主管,洗碗人員
萬用填充項擠壓-同領域,梧棲店宇良食外場晚班工讀,餐飲服務人員,,,,,調酒師／吧台人員,冷熱飲調製人員,門市／店員／專櫃人員,侍酒師,飯店／旅館服務人員,售票／收銀人員,外送人員,餐飲主管,餐飲服務人員,藥師助理,餐飲服務人員,調酒師／吧台人員,冷熱飲調製人員,門市／店員／專櫃人員,侍酒師,飯店／旅館服務人員,售票／收銀人員,外送人員,餐飲主管,藥師助理
萬用填充項擠壓-同領域,Billy野豬餐酒館 外場 兼職,餐飲服務人員,,,,,調酒師／吧台人員,冷熱飲調製人員,侍酒師,飯店／旅館服務人員,門市／店員／專櫃人員,外送人員,餐廚助手,洗碗人員,西式廚師,餐飲服務人員,餐飲服務人員,調酒師／吧台人員,冷熱飲調製人員,侍酒師,飯店／旅館服務人員,門市／店員／專櫃人員,外送人員,餐廚助手,洗碗人員,西式廚師
萬用填充項擠壓-同領域,【B55-內湖江南店】計時人員,餐飲服務人員,,,,,調酒師／吧台人員,冷熱飲調製人員,洗碗人員,餐廚助手,侍酒師,外送人員,西式廚師,飯店／旅館服務人員,餐飲服務人員,門市／店員／專櫃人員,餐飲服務人員,調酒師／吧台人員,冷熱飲調製人員,洗碗人員,餐廚助手,侍酒師,外送人員,西式廚師,飯店／旅館服務人員,門市／店員／專櫃人員
萬用填充項擠壓-同領域,【B56-大安東豐店】計時人員,餐飲服務人員,,,,,調酒師／吧台人員,冷熱飲調製人員,洗碗人員,餐廚助手,西式廚師,餐飲服務人員,外送人員,侍酒師,飯店／旅館服務人員,門市／店員／專櫃人員,餐飲服務人員,調酒師／吧台人員,冷熱飲調製人員,洗碗人員,餐廚助手,西式廚師,外送人員,侍酒師,飯店／旅館服務人員,門市／店員／專櫃人員
萬用填充項擠壓-同領域,『森川丼丼巨蛋店』外場正職人員,餐飲服務人員,,,,,調酒師／吧台人員,冷熱飲調製人員,侍酒師,門市／店員／專櫃人員,飯店／旅館服務人員,洗碗人員,餐飲服務人員,西式廚師,餐廚助手,餐飲主管,餐飲服務人員,調酒師／吧台人員,冷熱飲調製人員,侍酒師,門市／店員／專櫃人員,飯店／旅館服務人員,洗碗人員,西式廚師,餐廚助手,餐飲主管
萬用填充項擠壓-同領域,『森川丼丼楠梓店』外場正職人員,餐飲服務人員,,,,,調酒師／吧台人員,冷熱飲調製人員,門市／店員／專櫃人員,侍酒師,飯店／旅館服務人員,洗碗人員,餐飲服務人員,餐飲主管,西式廚師,餐廚助手,餐飲服務人員,調酒師／吧台人員,冷熱飲調製人員,門市／店員／專櫃人員,侍酒師,飯店／旅館服務人員,洗碗人員,餐飲主管,西式廚師,餐廚助手
萬用填充項擠壓-同領域,TINA廚房-八德店-外場人員,餐飲服務人員,,,,,調酒師／吧台人員,冷熱飲調製人員,門市／店員／專櫃人員,侍酒師,飯店／旅館服務人員,餐飲服務人員,洗碗人員,餐廚助手,西式廚師,外送人員,餐飲服務人員,調酒師／吧台人員,冷熱飲調製人員,門市／店員／專櫃人員,侍酒師,飯店／旅館服務人員,洗碗人員,餐廚助手,西式廚師,外送人員
萬用填充項擠壓-同領域,蕃薯藤自然食堂-平鎮店-外場人員(中壢-食寓),餐飲服務人員,,,,,調酒師／吧台人員,冷熱飲調製人員,侍酒師,飯店／旅館服務人員,洗碗人員,門市／店員／專櫃人員,餐飲服務人員,餐廚助手,藥師助理,餐飲主管,餐飲服務人員,調酒師／吧台人員,冷熱飲調製人員,侍酒師,飯店／旅館服務人員,洗碗人員,門市／店員／專櫃人員,餐廚助手,藥師助理,餐飲主管
萬用填充項擠壓-同領域,南港門市人員,餐飲服務人員,,,,,冷熱飲調製人員,調酒師／吧台人員,門市／店員／專櫃人員,侍酒師,飯店／旅館服務人員,售票／收銀人員,餐飲服務人員,外送人員,洗碗人員,藥師助理,餐飲服務人員,冷熱飲調製人員,調酒師／吧台人員,門市／店員／專櫃人員,侍酒師,飯店／旅館服務人員,售票／收銀人員,外送人員,洗碗人員,藥師助理
萬用填充項擠壓-同領域,聚椒連鎖餐飲『義享店』招募【早班兼職夥伴】   時薪200元起,餐飲服務人員,,,,,調酒師／吧台人員,冷熱飲調製人員,侍酒師,門市／店員／專櫃人員,飯店／旅館服務人員,西式廚師,餐飲服務人員,洗碗人員,餐廚助手,外送人員,餐飲服務人員,調酒師／吧台人員,冷熱飲調製人員,侍酒師,門市／店員／專櫃人員,飯店／旅館服務人員,西式廚師,洗碗人員,餐廚助手,外送人員
萬用填充項擠壓-同領域,燒肉政宗-三重店 外場正職人員,餐飲服務人員,,,,,調酒師／吧台人員,冷熱飲調製人員,侍酒師,門市／店員／專櫃人員,餐廚助手,餐飲服務人員,洗碗人員,飯店／旅館服務人員,西式廚師,外送人員,餐飲服務人員,調酒師／吧台人員,冷熱飲調製人員,侍酒師,門市／店員／專櫃人員,餐廚助手,洗碗人員,飯店／旅館服務人員,西式廚師,外送人員
萬用填充項擠壓-同領域,燒肉政宗-頭份店 外場正職,餐飲服務人員,,,,,調酒師／吧台人員,冷熱飲調製人員,麵包師,侍酒師,餐廚助手,西式廚師,門市／店員／專櫃人員,餐飲服務人員,品管／品保主管,洗碗人員,餐飲服務人員,調酒師／吧台人員,冷熱飲調製人員,麵包師,侍酒師,餐廚助手,西式廚師,門市／店員／專櫃人員,品管／品保主管,洗碗人員
萬用填充項擠壓-同領域,【六扇門-土城中央店】計時人員,餐飲服務人員,,,,,洗碗人員,冷熱飲調製人員,餐廚助手,調酒師／吧台人員,西式廚師,餐飲服務人員,侍酒師,外送人員,飯店／旅館服務人員,門市／店員／專櫃人員,餐飲服務人員,洗碗人員,冷熱飲調製人員,餐廚助手,調酒師／吧台人員,西式廚師,侍酒師,外送人員,飯店／旅館服務人員,門市／店員／專櫃人員
,設備組裝 人員,組裝組立技術人員,,,,,電機設備裝配員,電機技師／工程師,機械加工技術人員,技術人員,模具技術人員,電器產品維修人員,CNC車床人員,組裝組立技術人員,水電工,汽車檢驗員,組裝組立技術人員,電機設備裝配員,電機技師／工程師,機械加工技術人員,技術人員,模具技術人員,電器產品維修人員,CNC車床人員,水電工,汽車檢驗員
,設備組裝人員,組裝組立技術人員,,,,,電機設備裝配員,電機技師／工程師,機械加工技術人員,技術人員,模具技術人員,電器產品維修人員,CNC車床人員,組裝組立技術人員,水電工,汽車檢驗員,組裝組立技術人員,電機設備裝配員,電機技師／工程師,機械加工技術人員,技術人員,模具技術人員,電器產品維修人員,CNC車床人員,水電工,汽車檢驗員
,組裝人員,組裝組立技術人員,,,,,汽車檢驗員,電機設備裝配員,電機技師／工程師,包裝員／作業員,CNC車床人員,技術人員,組裝組立技術人員,模具技術人員,機械加工技術人員,塑膠押出技術人員,組裝組立技術人員,汽車檢驗員,電機設備裝配員,電機技師／工程師,包裝員／作業員,CNC車床人員,技術人員,模具技術人員,機械加工技術人員,塑膠押出技術人員
,"木箱學徒 - 木箱,棧板 (想學習態度佳無經驗可)",組裝組立技術人員,,,,,CNC車床人員,木工,學徒,包裝員／作業員,鍋爐相關人員,組裝組立技術人員,水電工,汽車檢驗員,電機技師／工程師,電機設備裝配員,組裝組立技術人員,CNC車床人員,木工,學徒,包裝員／作業員,鍋爐相關人員,水電工,汽車檢驗員,電機技師／工程師,電機設備裝配員
,"木箱師傅 - 木箱,棧板",組裝組立技術人員,,,,,木工,CNC車床人員,智慧製程工程師,水電工,電機技師／工程師,電機設備裝配員,組裝組立技術人員,泥水工相關人員,學徒,服裝設計,組裝組立技術人員,木工,CNC車床人員,智慧製程工程師,水電工,電機技師／工程師,電機設備裝配員,泥水工相關人員,學徒,服裝設計
,貨架施工人員,組裝組立技術人員,,,,,電機設備裝配員,包裝員／作業員,電機技師／工程師,技術人員,CNC車床人員,組裝組立技術人員,水電工,吊車／起重機相關操作人員,雷射技術操作員,塑膠押出技術人員,組裝組立技術人員,電機設備裝配員,包裝員／作業員,電機技師／工程師,技術人員,CNC車床人員,水電工,吊車／起重機相關操作人員,雷射技術操作員,塑膠押出技術人員
,組立技術員,組裝組立技術人員,,,,,機械加工技術人員,技術人員,電機設備裝配員,電機技師／工程師,模具技術人員,塑膠模具技術人員,組裝組立技術人員,CNC車床人員,汽車檢驗員,塑膠押出技術人員,組裝組立技術人員,機械加工技術人員,技術人員,電機設備裝配員,電機技師／工程師,模具技術人員,塑膠模具技術人員,CNC車床人員,汽車檢驗員,塑膠押出技術人員
,廠內組裝安裝人員,組裝組立技術人員,,,,,電機設備裝配員,電機技師／工程師,機械加工技術人員,技術人員,汽車檢驗員,電器產品維修人員,CNC車床人員,模具技術人員,水電工,組裝組立技術人員,組裝組立技術人員,電機設備裝配員,電機技師／工程師,機械加工技術人員,技術人員,汽車檢驗員,電器產品維修人員,CNC車床人員,模具技術人員,水電工
,★ 月薪可破4萬!! 急徵!!【美商-伊頓飛瑞智能電源】組裝作業員 #獎金1-3萬 #免費供餐 #免費接駁車 #交通補助 #汐止-VK,組裝組立技術人員,,,,,包裝員／作業員,倉管／物料管理員,倉儲物流人員,CNC車床人員,理貨人員,生管／助理,組裝組立技術人員,重機械操作人員,塑膠押出技術人員,電機技師／工程師,組裝組立技術人員,包裝員／作業員,倉管／物料管理員,倉儲物流人員,CNC車床人員,理貨人員,生管／助理,重機械操作人員,塑膠押出技術人員,電機技師／工程師
,盤面組立人員(苗栗三義),組裝組立技術人員,,,,,電機技師／工程師,電機設備裝配員,製鞋類人員,機械加工技術人員,工業設計,組裝組立技術人員,PLC／自動控制工程師,包裝設計,泥水工相關人員,CNC車床人員,組裝組立技術人員,電機技師／工程師,電機設備裝配員,製鞋類人員,機械加工技術人員,工業設計,PLC／自動控制工程師,包裝設計,泥水工相關人員,CNC車床人員
,現場組裝人員 無經驗可,組裝組立技術人員,,,,,包裝員／作業員,汽車檢驗員,技術人員,CNC車床人員,電機設備裝配員,組裝組立技術人員,電機技師／工程師,機械加工技術人員,模具技術人員,檢驗人員,組裝組立技術人員,包裝員／作業員,汽車檢驗員,技術人員,CNC車床人員,電機設備裝配員,電機技師／工程師,機械加工技術人員,模具技術人員,檢驗人員
,（嘉義）設備組裝人員,組裝組立技術人員,,,,,電機設備裝配員,電機技師／工程師,機械加工技術人員,技術人員,CNC車床人員,模具技術人員,組裝組立技術人員,汽車檢驗員,電器產品維修人員,水電工,組裝組立技術人員,電機設備裝配員,電機技師／工程師,機械加工技術人員,技術人員,CNC車床人員,模具技術人員,汽車檢驗員,電器產品維修人員,水電工
,機械組立技術員,組裝組立技術人員,,,,,電機設備裝配員,機械加工技術人員,電機技師／工程師,技術人員,模具技術人員,組裝組立技術人員,水電工,塑膠模具技術人員,機械設備組裝測試人員,CNC車床人員,組裝組立技術人員,電機設備裝配員,機械加工技術人員,電機技師／工程師,技術人員,模具技術人員,水電工,塑膠模具技術人員,機械設備組裝測試人員,CNC車床人員
,組裝作業員(雲林),組裝組立技術人員,,,,,包裝員／作業員,CNC車床人員,技術人員,電機技師／工程師,電機設備裝配員,塑膠押出技術人員,汽車檢驗員,倉管／物料管理員,沖床人員,組裝組立技術人員,組裝組立技術人員,包裝員／作業員,CNC車床人員,技術人員,電機技師／工程師,電機設備裝配員,塑膠押出技術人員,汽車檢驗員,倉管／物料管理員,沖床人員
萬用填充項擠壓-同領域,燒肉政宗-中和店 外場計時人員(PT人員),餐飲服務人員,,,,,冷熱飲調製人員,調酒師／吧台人員,藥師助理,門市／店員／專櫃人員,外送人員,餐廚助手,侍酒師,飯店／旅館服務人員,洗碗人員,餐飲服務人員,餐飲服務人員,冷熱飲調製人員,調酒師／吧台人員,藥師助理,門市／店員／專櫃人員,外送人員,餐廚助手,侍酒師,飯店／旅館服務人員,洗碗人員
萬用填充項擠壓-同領域,【B53-中正汀洲店】計時人員,餐飲服務人員,,,,,調酒師／吧台人員,冷熱飲調製人員,洗碗人員,餐廚助手,西式廚師,侍酒師,餐飲服務人員,外送人員,門市／店員／專櫃人員,飯店／旅館服務人員,餐飲服務人員,調酒師／吧台人員,冷熱飲調製人員,洗碗人員,餐廚助手,西式廚師,侍酒師,外送人員,門市／店員／專櫃人員,飯店／旅館服務人員
萬用填充項擠壓-同領域,外場工讀生-阿豬媽信義店(平日白天時薪200元以上),餐飲服務人員,,,,,冷熱飲調製人員,調酒師／吧台人員,洗碗人員,門市／店員／專櫃人員,飯店／旅館服務人員,外送人員,工讀生,餐廚助手,餐飲服務人員,藥師助理,餐飲服務人員,冷熱飲調製人員,調酒師／吧台人員,洗碗人員,門市／店員／專櫃人員,飯店／旅館服務人員,外送人員,工讀生,餐廚助手,藥師助理
萬用填充項擠壓-同領域,【胡同燒肉】兼職爐區人員時薪$ 250信義區/中山區,餐飲服務人員,,,,,冷熱飲調製人員,調酒師／吧台人員,飯店／旅館服務人員,外送人員,藥師助理,門市／店員／專櫃人員,洗碗人員,餐廚助手,侍酒師,餐飲服務人員,餐飲服務人員,冷熱飲調製人員,調酒師／吧台人員,飯店／旅館服務人員,外送人員,藥師助理,門市／店員／專櫃人員,洗碗人員,餐廚助手,侍酒師
萬用填充項擠壓-同領域,【六扇門-彰化和美店】假日班計時人員,餐飲服務人員,,,,,洗碗人員,餐廚助手,調酒師／吧台人員,冷熱飲調製人員,西式廚師,餐飲服務人員,外送人員,侍酒師,其他料理廚師,飯店／旅館服務人員,餐飲服務人員,洗碗人員,餐廚助手,調酒師／吧台人員,冷熱飲調製人員,西式廚師,外送人員,侍酒師,其他料理廚師,飯店／旅館服務人員
萬用填充項擠壓-同領域,((海霸王餐廳-蘆洲店))外場PT (14),餐飲服務人員,,,,,調酒師／吧台人員,侍酒師,冷熱飲調製人員,飯店／旅館服務人員,門市／店員／專櫃人員,餐飲主管,咖啡師,外送人員,售票／收銀人員,餐飲服務人員,餐飲服務人員,調酒師／吧台人員,侍酒師,冷熱飲調製人員,飯店／旅館服務人員,門市／店員／專櫃人員,餐飲主管,咖啡師,外送人員,售票／收銀人員
萬用填充項擠壓-同領域,大埔鐵板燒 外場人員/服務生 (北車店),餐飲服務人員,,,,,調酒師／吧台人員,冷熱飲調製人員,侍酒師,飯店／旅館服務人員,門市／店員／專櫃人員,外送人員,洗碗人員,咖啡師,餐飲服務人員,售票／收銀人員,餐飲服務人員,調酒師／吧台人員,冷熱飲調製人員,侍酒師,飯店／旅館服務人員,門市／店員／專櫃人員,外送人員,洗碗人員,咖啡師,售票／收銀人員
萬用填充項擠壓-同領域,匾十堂-台北101店-正職餐飲服務人員*起薪35K-55K/ 月休8天/滿半年特休3天*,餐飲服務人員,,,,,調酒師／吧台人員,冷熱飲調製人員,侍酒師,西式廚師,洗碗人員,門市／店員／專櫃人員,餐飲服務人員,餐廚助手,飯店／旅館服務人員,餐飲主管,餐飲服務人員,調酒師／吧台人員,冷熱飲調製人員,侍酒師,西式廚師,洗碗人員,門市／店員／專櫃人員,餐廚助手,飯店／旅館服務人員,餐飲主管
