# 推薦模型訓練回饋：每筆案例的負面推薦（模型目前推錯的前5項）與正向推薦（應推薦的正確職類與順序）。優化緣由：推薦項目命中率改善＝原本完全沒命中需救回；順序調整＝有推到但排在第6~10名需調進前5。正向推薦來源為廠商實際送出職類，不足5項即留白（不補值）。
職缺名稱,負面推薦1,負面推薦2,負面推薦3,負面推薦4,負面推薦5,正向推薦1,正向推薦2,正向推薦3,正向推薦4,正向推薦5,優化緣由
排排沾台式牛排★台北大巨蛋店★-外場PT【時薪200元起】,西式廚師,調酒師／吧台人員,日式廚師,洗碗人員,餐廚助手,餐飲服務人員,工讀生,,,,順序調整
【和牛涮台中文心崇德店】打烊班餐飲服務人員(工讀計時) ※享集團福利: 系統化培訓課程、國外最高享有全額旅遊補助、員工用餐八折優惠...等,飯店／旅館服務人員,調酒師／吧台人員,侍酒師,冷熱飲調製人員,門市／店員／專櫃人員,餐飲服務人員,工讀生,,,,順序調整
【和牛涮台中文心崇德店】餐飲服務人員(工讀計時) ※享夜間津貼 ※享集團福利: 系統化培訓課程、國外最高享有全額旅遊補助、員工用餐八折優惠...等,飯店／旅館服務人員,調酒師／吧台人員,門市／店員／專櫃人員,侍酒師,冷熱飲調製人員,餐飲服務人員,工讀生,,,,順序調整
【和牛涮竹北光明店】打烊班餐飲服務人員(工讀計時) ※享集團福利: 系統化培訓課程、國外最高享有全額旅遊補助、員工用餐八折優惠...等,飯店／旅館服務人員,調酒師／吧台人員,侍酒師,冷熱飲調製人員,門市／店員／專櫃人員,餐飲服務人員,工讀生,,,,順序調整
【和牛涮竹北光明店】餐飲服務人員(工讀計時) ※享夜間津貼 ※享集團福利: 系統化培訓課程、國外最高享有全額旅遊補助、員工用餐八折優惠...等,飯店／旅館服務人員,調酒師／吧台人員,門市／店員／專櫃人員,侍酒師,冷熱飲調製人員,餐飲服務人員,工讀生,,,,順序調整
牙醫助理,牙醫師,牙體技術人員,其他醫療從業人員,護理師,醫事檢驗師,診所助理,工讀生,,,,順序調整
【十二月餐飲連鎖事業-台北小巨蛋店】早班外場工讀人員,飯店／旅館服務人員,調酒師／吧台人員,門市／店員／專櫃人員,冷熱飲調製人員,侍酒師,餐飲服務人員,工讀生,,,,順序調整
【十二月餐飲連鎖事業-高雄高流店 】打烊班工讀人員,冷熱飲調製人員,調酒師／吧台人員,飯店／旅館服務人員,洗碗人員,門市／店員／專櫃人員,餐飲服務人員,工讀生,,,,順序調整
【和牛涮板橋文化店】打烊班餐飲服務人員(工讀計時) ※享集團福利: 系統化培訓課程、國外最高享有全額旅遊補助、員工用餐八折優惠...等,飯店／旅館服務人員,調酒師／吧台人員,侍酒師,冷熱飲調製人員,門市／店員／專櫃人員,餐飲服務人員,工讀生,,,,順序調整
【和牛涮新店民權店】打烊班餐飲服務人員(工讀計時) ※享集團福利: 系統化培訓課程、國外最高享有全額旅遊補助、員工用餐八折優惠...等,飯店／旅館服務人員,調酒師／吧台人員,侍酒師,冷熱飲調製人員,門市／店員／專櫃人員,餐飲服務人員,工讀生,,,,順序調整
【和牛涮新店民權店】餐飲服務人員(工讀計時) ※享集團福利: 系統化培訓課程、國外最高享有全額旅遊補助、員工用餐八折優惠...等,飯店／旅館服務人員,調酒師／吧台人員,侍酒師,門市／店員／專櫃人員,冷熱飲調製人員,餐飲服務人員,工讀生,,,,順序調整
【和牛涮桃園同德店】打烊班餐飲服務人員(工讀計時) ※享集團福利: 系統化培訓課程、國外最高享有全額旅遊補助、員工用餐八折優惠...等,飯店／旅館服務人員,調酒師／吧台人員,侍酒師,門市／店員／專櫃人員,冷熱飲調製人員,餐飲服務人員,工讀生,,,,順序調整
家樂福安平店賣場推車手,門市／店員／專櫃人員,調酒師／吧台人員,冷熱飲調製人員,售票／收銀人員,侍酒師,樓面管理人員,店長／門市管理人員,,,,順序調整
7-11悅來門市 正職服務人員,門市／店員／專櫃人員,售票／收銀人員,調酒師／吧台人員,飯店／旅館服務人員,冷熱飲調製人員,國內業務人員,店長／門市管理人員,,,,順序調整
【挑戰年薪百萬】負責藥師_大樹藥局－金門全區,調酒師／吧台人員,侍酒師,門市／店員／專櫃人員,飯店／旅館服務人員,藥師助理,藥師,店長／門市管理人員,,,,順序調整
【挑戰年薪百萬】負責藥師_大樹藥局－台中全區,調酒師／吧台人員,侍酒師,門市／店員／專櫃人員,咖啡師,飯店／旅館服務人員,藥師,店長／門市管理人員,,,,順序調整
【挑戰年薪百萬】門市藥師_大樹藥局－彰化縣彰化市,調酒師／吧台人員,侍酒師,門市／店員／專櫃人員,冷熱飲調製人員,飯店／旅館服務人員,藥師,店長／門市管理人員,,,,順序調整
【挑戰年薪百萬】門市藥師_大樹藥局－彰化縣溪湖鎮,調酒師／吧台人員,侍酒師,門市／店員／專櫃人員,藥師助理,冷熱飲調製人員,藥師,店長／門市管理人員,,,,順序調整
【挑戰年薪百萬】門市藥師_大樹藥局－彰化縣鹿港鎮,調酒師／吧台人員,侍酒師,門市／店員／專櫃人員,冷熱飲調製人員,藥師助理,藥師,店長／門市管理人員,,,,順序調整
【挑戰年薪百萬】門市藥師_大樹藥局－彰化縣員林市,調酒師／吧台人員,侍酒師,門市／店員／專櫃人員,冷熱飲調製人員,飯店／旅館服務人員,藥師,店長／門市管理人員,,,,順序調整
【挑戰年薪百萬】門市藥師_大樹藥局－彰化縣花壇鄉,調酒師／吧台人員,侍酒師,門市／店員／專櫃人員,冷熱飲調製人員,飯店／旅館服務人員,藥師,店長／門市管理人員,,,,順序調整
【挑戰年薪百萬】門市藥師_大樹藥局－彰化縣社頭鄉,調酒師／吧台人員,侍酒師,門市／店員／專櫃人員,麵包師,冷熱飲調製人員,藥師,店長／門市管理人員,,,,順序調整
【挑戰年薪百萬】門市藥師_大樹藥局－彰化縣和美鎮,調酒師／吧台人員,侍酒師,門市／店員／專櫃人員,冷熱飲調製人員,藥師助理,藥師,店長／門市管理人員,,,,順序調整
【挑戰年薪百萬】門市藥師_大樹藥局－彰化縣秀水鄉,調酒師／吧台人員,侍酒師,門市／店員／專櫃人員,冷熱飲調製人員,藥師助理,藥師,店長／門市管理人員,,,,順序調整
【挑戰年薪百萬】門市藥師_大樹藥局－彰化縣田中鎮,中醫師,調酒師／吧台人員,藥師助理,侍酒師,餐飲主管,藥師,店長／門市管理人員,,,,順序調整
【挑戰年薪百萬】門市藥師_大樹藥局－彰化縣永靖鄉,調酒師／吧台人員,侍酒師,門市／店員／專櫃人員,冷熱飲調製人員,藥師助理,藥師,店長／門市管理人員,,,,順序調整
【挑戰年薪百萬】門市藥師_大樹藥局－彰化縣二林鎮,調酒師／吧台人員,侍酒師,門市／店員／專櫃人員,冷熱飲調製人員,飯店／旅館服務人員,藥師,店長／門市管理人員,,,,順序調整
【挑戰年薪百萬】門市藥師_大樹藥局－雲林縣斗六市,調酒師／吧台人員,侍酒師,門市／店員／專櫃人員,冷熱飲調製人員,藥師助理,藥師,店長／門市管理人員,,,,順序調整
【挑戰年薪百萬】門市藥師_大樹藥局－高雄市橋頭區,調酒師／吧台人員,侍酒師,門市／店員／專櫃人員,冷熱飲調製人員,麵包師,藥師,店長／門市管理人員,,,,順序調整
【挑戰年薪百萬】門市藥師_大樹藥局－高雄市鳳山區,調酒師／吧台人員,侍酒師,門市／店員／專櫃人員,冷熱飲調製人員,藥師助理,藥師,店長／門市管理人員,,,,順序調整
【挑戰年薪百萬】門市藥師_大樹藥局－高雄市鼓山區,調酒師／吧台人員,侍酒師,門市／店員／專櫃人員,冷熱飲調製人員,藥師助理,藥師,店長／門市管理人員,,,,順序調整
【挑戰年薪百萬】門市藥師_大樹藥局－高雄市路竹區,調酒師／吧台人員,侍酒師,門市／店員／專櫃人員,冷熱飲調製人員,藥師助理,藥師,店長／門市管理人員,,,,順序調整
【挑戰年薪百萬】門市藥師_大樹藥局－高雄市楠梓區,調酒師／吧台人員,侍酒師,門市／店員／專櫃人員,藥師助理,冷熱飲調製人員,藥師,店長／門市管理人員,,,,順序調整
【挑戰年薪百萬】門市藥師_大樹藥局－高雄市湖內區,調酒師／吧台人員,侍酒師,門市／店員／專櫃人員,冷熱飲調製人員,藥師助理,藥師,店長／門市管理人員,,,,順序調整
【挑戰年薪百萬】門市藥師_大樹藥局－高雄市林園區,調酒師／吧台人員,侍酒師,門市／店員／專櫃人員,冷熱飲調製人員,藥師助理,藥師,店長／門市管理人員,,,,順序調整
【挑戰年薪百萬】門市藥師_大樹藥局－高雄市岡山區,調酒師／吧台人員,侍酒師,門市／店員／專櫃人員,冷熱飲調製人員,藥師助理,藥師,店長／門市管理人員,,,,順序調整
【挑戰年薪百萬】門市藥師_大樹藥局－高雄市仁武區,調酒師／吧台人員,侍酒師,門市／店員／專櫃人員,冷熱飲調製人員,藥師助理,藥師,店長／門市管理人員,,,,順序調整
【挑戰年薪百萬】門市藥師_大樹藥局－高雄市大寮區,調酒師／吧台人員,侍酒師,門市／店員／專櫃人員,冷熱飲調製人員,藥師助理,藥師,店長／門市管理人員,,,,順序調整
【挑戰年薪百萬】門市藥師_大樹藥局－高雄市大社區,調酒師／吧台人員,侍酒師,門市／店員／專櫃人員,冷熱飲調製人員,藥師助理,藥師,店長／門市管理人員,,,,順序調整
【挑戰年薪百萬】門市藥師_大樹藥局－高雄市三民區,調酒師／吧台人員,侍酒師,門市／店員／專櫃人員,冷熱飲調製人員,飯店／旅館服務人員,藥師,店長／門市管理人員,,,,順序調整
【挑戰年薪百萬】門市藥師_大樹藥局－屏東縣潮州鎮,調酒師／吧台人員,侍酒師,門市／店員／專櫃人員,冷熱飲調製人員,藥師助理,藥師,店長／門市管理人員,,,,順序調整
【挑戰年薪百萬】門市藥師_大樹藥局－台南市新營區,調酒師／吧台人員,侍酒師,門市／店員／專櫃人員,冷熱飲調製人員,藥師助理,藥師,店長／門市管理人員,,,,順序調整
【挑戰年薪百萬】門市藥師_大樹藥局－台南市善化區,調酒師／吧台人員,侍酒師,門市／店員／專櫃人員,冷熱飲調製人員,藥師助理,藥師,店長／門市管理人員,,,,順序調整
【挑戰年薪百萬】門市藥師_大樹藥局－台南市東區,調酒師／吧台人員,侍酒師,門市／店員／專櫃人員,冷熱飲調製人員,藥師助理,藥師,店長／門市管理人員,,,,順序調整
分店資深主任-北區 (工作地點: 北區各分店),調酒師／吧台人員,門市／店員／專櫃人員,冷熱飲調製人員,侍酒師,品管／品保主管,店長／門市管理人員,儲備幹部,,,,順序調整
高榮商場-商場管理專員,商業分析師,商化人員,旅遊休閒類主管,攝影師,水產養殖人員,店長／門市管理人員,儲備幹部,,,,順序調整
遠傳電信門市店長-(彰化區彰美店)-薪43K起＼獎金無上限,調酒師／吧台人員,冷熱飲調製人員,門市／店員／專櫃人員,侍酒師,飯店／旅館服務人員,店長／門市管理人員,儲備幹部,,,,順序調整
"Ｒ【綜管勤務督導】松山區總公司，薪46,000元",經營管理主管,國內業務主管,行政主管,資材主管,飯店／旅館主管,總幹事,儲備幹部,,,,順序調整
速邁樂【急徵】(高雄市/ 燕巢站) 早、中、大夜班 正職服務員,售票／收銀人員,門市／店員／專櫃人員,遊樂景點工作人員,調酒師／吧台人員,休閒娛樂事業從業人員,加油服務,儲備幹部,,,,順序調整
速邁樂【誠徵】(台南市/永康站)中班儲備幹部,餐飲主管,售票／收銀人員,休閒娛樂事業從業人員,門市／店員／專櫃人員,調酒師／吧台人員,加油服務,儲備幹部,,,,順序調整
速邁樂【誠徵】(新北市/新店安坑站) 早班儲備幹部,調酒師／吧台人員,售票／收銀人員,門市／店員／專櫃人員,店長／門市管理人員,冷熱飲調製人員,加油服務,儲備幹部,,,,順序調整
速邁樂【誠徵】(桃園市/龍潭站)早班、 中班 儲備幹部,餐飲主管,售票／收銀人員,休閒娛樂事業從業人員,調酒師／吧台人員,門市／店員／專櫃人員,加油服務,儲備幹部,,,,順序調整
速邁樂【誠徵】(台南市/上崙站) 早班、中班 儲備幹部,售票／收銀人員,餐飲主管,調酒師／吧台人員,門市／店員／專櫃人員,休閒娛樂事業從業人員,加油服務,儲備幹部,,,,順序調整
計時夥伴(台北市士林區)★☆時薪200~210元★☆有機會轉任正職,調酒師／吧台人員,洗碗人員,冷熱飲調製人員,西式廚師,外送人員,售票／收銀人員,門市／店員／專櫃人員,店長／門市管理人員,,,順序調整
【美廉社】兼職夥伴16:00-20:00(固休六日) A01,外送人員,調酒師／吧台人員,洗碗人員,餐廚助手,冷熱飲調製人員,售票／收銀人員,門市／店員／專櫃人員,店長／門市管理人員,,,順序調整
【竹北遠東店】哈根達斯Haagen-Dazs門市店襄理,冷熱飲調製人員,調酒師／吧台人員,洗碗人員,西式廚師,餐廚助手,門市／店員／專櫃人員,餐飲服務人員,店長／門市管理人員,,,順序調整
駐區商化陳列專員(高雄市地區),商化人員,廣告設計,攝影師,櫥窗／會場設計人員,通路開發人員,國內業務人員,門市／店員／專櫃人員,店長／門市管理人員,,,順序調整
寵物飼育員(土城),資材人員,倉管／物料管理員,生鮮處理人員,獸醫／獸醫佐,倉儲物流人員,動物飼育專業人員,門市／店員／專櫃人員,店長／門市管理人員,,,順序調整
駐區商化陳列專（台北市地區),商化人員,廣告設計,櫥窗／會場設計人員,攝影師,行銷企劃人員,國內業務人員,門市／店員／專櫃人員,店長／門市管理人員,,,順序調整
System integration engineer 系統整合工程師,MES工程師,IC設計工程師,系統分析師,嵌入式工程師,軟體工程師,系統工程師,電子工程師,機構工程師,,,順序調整
[Server]機櫃系統工程師(大溪),軟體工程師,水電工程師,IC設計工程師,嵌入式工程師,PLC／自動控制工程師,系統工程師,電子工程師,機構工程師,,,順序調整
設計繪圖工程師(薪6萬起),冷凍空調繪圖／設計,IC設計工程師,嵌入式工程師,軟體工程師,建築繪圖／設計,機械設計／繪圖人員,工業設計,機構工程師,,,順序調整
繪圖人員,建築繪圖／設計,電信／配線繪圖,冷凍空調繪圖／設計,平面設計,室內設計助理,結構技師／工程師,土木技師,機械設計／繪圖人員,,,順序調整
台中-CAD/CAM應用工程師,軟體工程師,IC設計工程師,嵌入式工程師,APP工程師,建築繪圖／設計,機構工程師,CAD／CAM工程師,機械設計／繪圖人員,,,順序調整
A115- CAD工程師 (Location:台南),IC佈局工程師,IC設計工程師,嵌入式工程師,BIOS工程師,軟體工程師,CAD／CAM工程師,PLC／自動控制工程師,機械設計／繪圖人員,,,順序調整
A115- CAD工程師 (Location:雲林/虎尾),IC佈局工程師,IC設計工程師,嵌入式工程師,BIOS工程師,軟體工程師,CAD／CAM工程師,PLC／自動控制工程師,機械設計／繪圖人員,,,順序調整
A211- 繪圖工程師 (Location:新竹),IC佈局工程師,IC設計工程師,嵌入式工程師,RF通訊工程師,BIOS工程師,CAD／CAM工程師,PLC／自動控制工程師,機械設計／繪圖人員,,,順序調整
A111- 繪圖工程師 (Location:林口),IC佈局工程師,IC設計工程師,嵌入式工程師,RF通訊工程師,BIOS工程師,CAD／CAM工程師,PLC／自動控制工程師,機械設計／繪圖人員,,,順序調整
早班CNC工程師,智慧製程工程師,PLC／自動控制工程師,電機技師／工程師,CNC車床人員,工業設計,CNC程式設計師,CAD／CAM工程師,機械設計／繪圖人員,,,順序調整
鋼構繪圖工程師,土木工程師,金屬建材架構人員,水電工程師,結構技師／工程師,消防專業人員,建築繪圖／設計,CAD／CAM工程師,機械設計／繪圖人員,,,順序調整
繪圖人員,建築繪圖／設計,電信／配線繪圖,冷凍空調繪圖／設計,平面設計,室內設計助理,工業設計,CAD／CAM工程師,機械設計／繪圖人員,,,順序調整
Project Manager(電腦週邊),軟體相關管理師,資料庫管理人員,建築繪圖／設計,ERP專案管理師,PLC／自動控制工程師,行銷企劃人員,產品企劃人員,產品管理師,,,順序調整
日本旅遊產品操作,資材人員,神秘客,產品經理,客服主管,資材主管,票務人員／旅行社人員,產品企劃人員,產品管理師,,,順序調整
旅遊產品操作,神秘客,產品經理,資材人員,客服主管,產品企劃主管,票務人員／旅行社人員,產品企劃人員,產品管理師,,,順序調整
【集團總部】行銷業務專員,國內業務主管,國外業務主管,國內業務人員,產品企劃主管,客服主管,國外業務人員,產品企劃人員,產品管理師,,,順序調整
《市場營銷處》收益管理資深專員/專員 【月薪+獎金 4~6萬】,產品經理,儲備幹部,產品企劃主管,客服主管,行銷企劃人員,國內業務人員,專案業務主管,產品管理師,,,順序調整
品質工程師(越南/墨西哥),可靠度工程師,工業設計,水電工程師,結構技師／工程師,土木工程師,品保工程師,品管人員,產品管理師,,,順序調整
專案產品客服人員,國貿人員,國外業務人員,神秘客,文字客服,客服主管,客服工程師,資訊助理人員,產品管理師,,,順序調整
車用產品開發工程師,汽車研發人員,醫療器材研發工程師,零組件工程師,光學工程師,韌體工程師,材料研發人員,紡織化學工程師,產品管理師,,,順序調整
機械組立工程師,電機技師／工程師,電機設備裝配員,機械加工技術人員,PLC／自動控制工程師,機構工程師,組裝組立技術人員,機械設備組裝測試人員,機械設計／繪圖人員,,,順序調整
品質工程師,可靠度工程師,工業設計,水電工程師,工地品管員／工程師,土木工程師,檢驗人員,品保工程師,機械設計／繪圖人員,,,順序調整
繪圖助理,設計助理,攝影助理,資訊助理人員,冷凍空調繪圖／設計,室內設計助理,建築繪圖／設計,工業設計,機械設計／繪圖人員,,,順序調整
CAD/CAM程式工程師/學徒,嵌入式工程師,軟體工程師,IC佈局工程師,BIOS工程師,RF通訊工程師,CNC程式設計師,機械加工技術人員,機械設計／繪圖人員,,,順序調整
【台南】精密機械刀具專案規劃工程師,RF通訊工程師,嵌入式工程師,IC設計工程師,韌體工程師,IC佈局工程師,機械工程師,機械加工技術人員,機械設計／繪圖人員,,,順序調整
CNC銑床技術助理人員,組裝組立技術人員,工程助理,機械操作人員,生產技術／製程工程師,技術文件／說明書編譯,CNC銑床人員,機械加工技術人員,機械設計／繪圖人員,,,順序調整
CAD/CAM應用工程師-桃園,IC設計工程師,軟體工程師,嵌入式工程師,IC佈局工程師,APP工程師,CAD／CAM工程師,機械工程師,機械設計／繪圖人員,,,順序調整
機械工程技師(台北),電機技師／工程師,電機設備裝配員,智慧製程工程師,PLC／自動控制工程師,模具技術人員,機電技師／工程師,機械工程師,機械設計／繪圖人員,,,順序調整
機械設計開發工程師,零組件工程師,電子工程師,材料研發人員,化學／化工工程師,汽車研發人員,機構工程師,機械工程師,機械設計／繪圖人員,,,順序調整
繪圖人員,建築繪圖／設計,電信／配線繪圖,冷凍空調繪圖／設計,平面設計,室內設計助理,機構工程師,機械工程師,機械設計／繪圖人員,,,順序調整
(研發部)機構工程師,零組件工程師,汽車研發人員,電子工程師,工業工程師,材料研發人員,機構工程師,機械工程師,機械設計／繪圖人員,,,順序調整
F2911501-工程師,PLC／自動控制工程師,BIOS工程師,熱傳工程師,電機技師／工程師,電機設備裝配員,機構工程師,機械工程師,機械設計／繪圖人員,,,順序調整
歡迎在校生【台北時薪200+獎金】福利優 ! 視訊開發工讀生 #非電銷 #特休15天 KK,軟／韌體測試工程師,化學／化工工程師,演算法開發工程師,電腦硬體研發工程師,韌體工程師,國內業務人員,電訪人員,工讀生,,,順序調整
急徵! 非推銷職~TOYOTA電訪客服人員,國貿人員,國貿助理,業務助理,活動企劃人員,秘書,電話客服人員,電訪人員,工讀生,,,順序調整
兼職開發分銷(花蓮),通路開發人員,商化人員,國內業務人員,產品企劃人員,電話行銷人員,電話客服人員,電訪人員,工讀生,,,順序調整
午班電訪人員(時薪200-500+鼓勵獎金+全勤)~意洽電洽0936-777458,房務人員,神秘客,遊樂景點工作人員,資材人員,售票／收銀人員,客服人員,電訪人員,工讀生,,,順序調整
【四代目菊川鰻魚飯專賣店】外場兼職(信義微風店)※最高時薪245元※,調酒師／吧台人員,冷熱飲調製人員,侍酒師,洗碗人員,飯店／旅館服務人員,餐飲服務人員,日式廚師,工讀生,,,順序調整
【四代目菊川鰻魚飯專賣店】外場兼職(台北大巨蛋)※最高時薪245元※,調酒師／吧台人員,冷熱飲調製人員,侍酒師,洗碗人員,飯店／旅館服務人員,餐飲服務人員,日式廚師,工讀生,,,順序調整
複合材料集團-海外廠專案經理PM  E39,BIOS工程師,材料分析員,生產技術／製程工程師,PLC／自動控制工程師,機構工程師,產品企劃人員,專案管理主管,產品管理師,,,順序調整
高級專員/專案副理 ( 總部-企劃部 ),公關企劃人員,傳播媒體編輯企劃,UI/UX設計師,媒體公關人員,特別助理,行銷企劃人員,活動企劃人員,ESG永續管理師,,,順序調整
淨零碳規劃管理師(B),軟體相關管理師,土木工程師,水電工程師,軟體專案主管,建築繪圖／設計,產品管理師,碳權管理師,ESG永續管理師,,,順序調整
【VBA開發工程師】#薪資40000起 #具備保險應用程式開發經驗加分_BIS_205,軟／韌體測試工程師,IC設計工程師,韌體工程師,APP工程師,醫療器材研發工程師,軟體工程師,前端工程師,後端工程師,,,順序調整
工研院服科中心_APP 開發工程師（熟影像處理/API串接）(S200),韌體工程師,演算法開發工程師,APP工程師,軟／韌體測試工程師,電腦硬體研發工程師,軟體工程師,前端工程師,後端工程師,,,順序調整
(C)系統維護高級工程師11504017,IC設計工程師,冷凍空調技術人員／安裝員,軟體工程師,電子設備維修人員,嵌入式工程師,系統工程師,前端工程師,後端工程師,,,順序調整
【雲端維運工程師】Cloud DevOps(AWS Specialist),雲端架構師,RF通訊工程師,雲端工程師,IC佈局工程師,IC設計工程師,網路管理工程師,系統工程師,DevOps工程師,,,順序調整
PCB Project Manager,水電工程師,PLC／自動控制工程師,專案管理主管,軟體相關管理師,水電工,PCB-Layout佈局工程師,IC佈局工程師,IC封裝／測試工程師,,,順序調整
【HWTE】I-硬體測試工程師/主管,專案管理主管,BIOS工程師,軟／韌體測試工程師,工業工程師,硬體工程研發主管,電腦硬體研發工程師,測試工程師,IC封裝／測試工程師,,,順序調整
機構副工程師,冷凍空調繪圖／設計,水電工程師,CAD／CAM工程師,PLC／自動控制工程師,工業設計,機械工程師,機構工程師,機械設計／繪圖人員,,,順序調整
助理工程師,軟體助理工程師,軟體工程師,系統工程師,韌體工程師,光電／半導體工程助理,機械工程師,機構工程師,機械設計／繪圖人員,,,順序調整
｜機構設計工程師｜正職完整福利制度｜安南區-F68,工業設計,IC佈局工程師,建築繪圖／設計,嵌入式工程師,軟體工程師,PLC／自動控制工程師,機構工程師,機械設計／繪圖人員,,,順序調整
航太製程工程師,智慧製程工程師,電機技師／工程師,電機設備裝配員,PLC／自動控制工程師,機械工程師,生產技術／製程工程師,機構工程師,機械設計／繪圖人員,,,順序調整
【新北樹林】上市科技業子公司-產品助理工程師︱公司穩定成長︱見紅休,軟體助理工程師,設計助理,室內設計助理,冷凍空調繪圖／設計,客服工程師,生產技術／製程工程師,機構工程師,機械設計／繪圖人員,,,順序調整
模具類-模具開發設計繪圖工程師,零組件工程師,電子工程師,汽車研發人員,材料研發人員,工業設計,機械設計／繪圖人員,其他專案管理師,機構工程師,,,順序調整
【RD】iPEBG 材料力學模擬高級工程師,BIOS工程師,特用化學工程師,材料分析員,IC佈局工程師,可靠度工程師,機械工程師,熱傳工程師,機構工程師,,,順序調整
[AI Server]伺服器系統架構師(桃園),軟體工程師,嵌入式工程師,IC設計工程師,IC佈局工程師,冷凍空調繪圖／設計,電腦硬體研發工程師,系統工程師,機構工程師,,,順序調整
國家太空中心-衛星機械組-精密機械設計工程師,IC佈局工程師,RF通訊工程師,BIOS工程師,PCB-Layout佈局工程師,零組件工程師,其他特殊工程人員,機械工程師,機構工程師,,,順序調整
研發工程師-機械與機構設計,電子工程師,汽車研發人員,材料研發人員,零組件工程師,特用化學工程師,機械工程師,軟體助理工程師,機構工程師,,,順序調整
CNC產品工程師,工業設計,PLC／自動控制工程師,智慧製程工程師,水電工程師,產品管理師,機械工程師,機械設計／繪圖人員,機構工程師,,,順序調整
機械鏟花高手,電機技師／工程師,智慧製程工程師,電機設備裝配員,PLC／自動控制工程師,水電工,機械工程師,機電技師／工程師,機構工程師,,,順序調整
機械工程師(芳苑),智慧製程工程師,PLC／自動控制工程師,電機技師／工程師,電機設備裝配員,工業設計,機械工程師,機電技師／工程師,機構工程師,,,順序調整
設備工程師/主管-外派越南(飛宏科技),電機工程主管,設備工程主管,結構技師／工程師,土木工程師,水電工程師,PLC／自動控制工程師,生產設備工程師,機構工程師,,,順序調整
繪圖機構工程師(身心障礙者),IC設計工程師,消防繪圖人員,冷凍空調繪圖／設計,嵌入式工程師,IC佈局工程師,機械工程師,機械設計／繪圖人員,機構工程師,,,順序調整
製圖/製圖助理(夜校生可),生管／助理,執行製作／助理,資訊助理人員,影片製作技術人員,軟體助理工程師,CAD／CAM工程師,機械設計／繪圖人員,機構工程師,,,順序調整
工研院機械所-自動化機構工程師 (M300),電子工程師,工業設計,PLC／自動控制工程師,BIOS工程師,材料分析員,機械工程師,機械設計／繪圖人員,機構工程師,,,順序調整
高級機械工程師,智慧製程工程師,電機技師／工程師,電機設備裝配員,PLC／自動控制工程師,模具技術人員,機械工程師,機械設計／繪圖人員,機構工程師,,,順序調整
車體設計工程師(大園廠),RF通訊工程師,韌體工程師,BIOS工程師,零組件工程師,軟／韌體測試工程師,機械工程師,機械設計／繪圖人員,機構工程師,,,順序調整
繪圖機構工程師,冷凍空調繪圖／設計,電信／配線繪圖,水電工程師,消防專業人員,土木工程師,機械工程師,機械設計／繪圖人員,機構工程師,,,順序調整
產品設計工程師-彰濱廠,工業設計,PCB-Layout佈局工程師,BIOS工程師,IC佈局工程師,PLC／自動控制工程師,機械工程師,機械設計／繪圖人員,機構工程師,,,順序調整
製程工程師,智慧製程工程師,電機技師／工程師,PLC／自動控制工程師,電機設備裝配員,塑膠押出技術人員,生產技術／製程工程師,生產設備工程師,機構工程師,,,順序調整
製造部-沖壓模具開發專員,汽車研發人員,零組件工程師,工業工程師,金屬模具技術人員,機械工程主管,模具技術人員,沖壓模具技術人員,機構工程師,,,順序調整
工研院電光系統所_車用電子系統/結構整合工程師 (K100),MES工程師,軟／韌體測試工程師,零組件工程師,韌體工程師,IC設計工程師,電子工程師,機械工程師,機構工程師,,,順序調整
板金繪圖工程師,IC設計工程師,嵌入式工程師,建築繪圖／設計,現場規劃工程師,冷凍空調繪圖／設計,機械設計／繪圖人員,機械工程師,機構工程師,,,順序調整
技術工程師/專案工程師,水電工程師,電機設備裝配員,機電技師／工程師,PLC／自動控制工程師,電機技師／工程師,機械設計／繪圖人員,機械工程師,機構工程師,,,順序調整
繪圖工程師,IC設計工程師,冷凍空調繪圖／設計,嵌入式工程師,RF通訊工程師,建築繪圖／設計,機械設計／繪圖人員,機械工程師,機構工程師,,,順序調整
電梯設計-機械繪圖/機械製圖,工業設計,CAD／CAM工程師,建築繪圖／設計,PLC／自動控制工程師,冷凍空調繪圖／設計,機械設計／繪圖人員,機械工程師,機構工程師,,,順序調整
機械製圖工程師,PLC／自動控制工程師,工業設計,智慧製程工程師,電機技師／工程師,電機設備裝配員,機械設計／繪圖人員,機械工程師,機構工程師,,,順序調整
機械設計工程師/主管【高雄】,電機工程主管,設備工程主管,機械工程主管,水電工程師,結構技師／工程師,機械設計／繪圖人員,機械工程師,機構工程師,,,順序調整
繪圖人員,建築繪圖／設計,電信／配線繪圖,冷凍空調繪圖／設計,平面設計,室內設計助理,機械設計／繪圖人員,機械工程師,機構工程師,,,順序調整
⚙️【機械設計研發工程師｜月薪38K～50K｜週休二日】⚙️ ✨ 自動化設備研發 × 機構設計實戰 × 專業技術持續成長 ✨,材料研發人員,化學／化工工程師,電子工程師,汽車研發人員,零組件工程師,機械設計／繪圖人員,機械工程師,機構工程師,,,順序調整
機構及熱管理系統研發資深工程師,韌體工程師,軟／韌體測試工程師,光電工程師,IC設計工程師,硬體工程研發主管,熱傳工程師,電子工程師,機構工程師,,,順序調整
